"一工路","Yigong Rd."
"復興路二段","Sec. 2, Fusing Rd."
"復興路三段","Sec. 3, Fusing Rd."
"復興路五段","Sec. 5, Fusing Rd."
"復興路五段東苑","Dongyuan, Sec. 5, Fusing Rd."
"復興路五段玫瑰","Meiguei, Sec. 5, Fusing Rd."
"復興路四段","Sec. 4, Fusing Rd."
"復興路四段陸橋下西","Luciaosiasi, Sec. 4, Fusing Rd."
"復興路四段陸橋下東","Luciaosiadong, Sec. 4, Fusing Rd."
"復興路民生巷","Minsheng Ln., Fusing Rd."
"復興路光華巷","Guanghua Ln., Fusing Rd."
"復興路安平巷","Anping Ln., Fusing Rd."
"復興路松柏巷","Songbo Ln., Fusing Rd."
"復鐤金","Fudingjin"
"惠中一街","Hueizhong 1st St."
"惠中七街","Hueizhong 7th St."
"惠中二街","Hueizhong 2nd St."
"惠中三街","Hueizhong 3rd St."
"惠中五街","Hueizhong 5th St."
"惠中六街","Hueizhong 6th St."
"惠中街","Hueizhong St."
"惠中路","Hueizhong Rd."
"惠中路一段","Sec. 1, Hueizhong Rd."
"惠中路二段","Sec. 2, Hueizhong Rd."
"惠中路三段","Sec. 3, Hueizhong Rd."
"惠心街","Hueisin St."
"惠文一街","Hueiwun 1st St."
"惠文七街","Hueiwun 7th St."
"惠文二街","Hueiwun 2nd St."
"惠文三街","Hueiwun 3rd St."
"惠文五街","Hueiwun 5th St."
"惠文六街","Hueiwun 6th St."
"惠文南街","Hueiwun S. St."
"惠文街","Hueiwun St."
"惠文路","Hueiwun Rd."
"惠弘街","Hueihong St."
"惠正街","Hueizheng St."
"惠民一路","Hueimin 1st Rd."
"惠民二村","Hueimin 2nd Vil."
"惠民莊","Hueimin Vil."
"惠民富康農莊","Hueimin Fukang Farm"
"惠民街","Hueimin St."
"惠民新村","Hueimin New Village"
"惠民路","Hueimin Rd."
"惠好路","Hueihao Rd."
"惠安一路","Huei'an 1st Rd."
"惠安巷","Huei'an Ln."
"惠安街","Huei'an St."
"惠安路","Huei'an Rd."
"惠州街","Hueizhou St."
"惠來","Hueilai"
"惠來一路","Hueilai 1st Rd."
"惠來二路","Hueilai 2nd Rd."
"惠來三街","Hueilai 3rd St."
"惠來五街","Hueilai 5th St."
"惠來西街","Hueilai W. St."
"惠來東街","Hueilai E. St."
"惠來街","Hueilai St."
"惠來路","Hueilai Rd."
"惠來路一段","Sec. 1, Hueilai Rd."
"惠來路二段","Sec. 2, Hueilai Rd."
"惠來路三段","Sec. 3, Hueilai Rd."
"惠忠街","Hueizhong St."
"惠昌街","Hueichang St."
"惠明街","Hueiming St."
"惠東巷","Hueidong Ln."
"惠勇街","Hueiyong St."
"惠南巷","Hueinan Ln."
"惠南街","Hueinan St."
"惠春街","Hueichun St."
"惠崙路","Hueilun Rd."
"惠深一路","Hueishen 1st Rd."
"惠深二路一段","Sec. 1, Hueishen 2nd Rd."
"惠深二路二段","Sec. 2, Hueishen 2nd Rd."
"惠智街","Hueizhi St."
"惠陽街","Hueiyang St."
"惠隆街","Hueilong St."
"惠愛路","Huei'ai Rd."
"惠義街","Hueiyi St."
"惠誠街","Hueicheng St."
"惠農路","Hueinong Rd."
"惠榮巷","Hueirong Ln."
"惠德街","Hueide St."
"惠豐街","Hueifong St."
"掌潭","Zhangtan"
"插角","Chajiao"
"援中路","Yuanzhong Rd."
"援港路","Yuangang Rd."
"敦化一街","Dunhua 1st St."
"敦化三街","Dunhua 3rd St."
"敦化北路","Dunhua N. Rd."
"敦化南路一段","Sec. 1, Dunhua S. Rd."
"敦化南路二段","Sec. 2, Dunhua S. Rd."
"敦化街","Dunhua St."
"敦化路","Dunhua Rd."
"敦化路一段","Sec. 1, Dunhua Rd."
"敦化路二段","Sec. 2, Dunhua Rd."
"敦平二街","Dunping 2nd St."
"敦安街","Dun'an St."
"敦和南路","Dunhe S. Rd."
"敦和街","Dunhe St."
"敦和路","Dunhe Rd."
"敦和路大明巷","Daming Ln., Dunhe Rd."
"敦和路仁和巷","Renhe Ln., Dunhe Rd."
"敦和路民族巷","Minzu Ln., Dunhe Rd."
"敦和路自立巷","Zihli Ln., Dunhe Rd."
"敦和路敦成巷","Duncheng Ln., Dunhe Rd."
"敦和路新和巷","Sinhe Ln., Dunhe Rd."
"敦和路廟前巷","Miaocian Ln., Dunhe Rd."
"敦南街","Dunnan St."
"敦厚路","Dunhou Rd."
"敦富一街","Dunfu 1st St."
"敦富七街","Dunfu 7th St."
"敦富九街","Dunfu 9th St."
"敦富二街","Dunfu 2nd St."
"敦富八街","Dunfu 8th St."
"敦富十一街","Dunfu 11th St."
"敦富十二街","Dunfu 12th St."
"敦富十街","Dunfu 10th St."
"敦富三街","Dunfu 3rd St."
"敦富五街","Dunfu 5th St."
"敦富六街","Dunfu 6th St."
"敦富東街","Dunfu E. St."
"敦富路","Dunfu Rd."
"敦煌路","Dunhuang Rd."
"敦睦街","Dunmu St."
"敦福路","Dunfu Rd."
"斯文","Sihwun"
"斯馨一路","Sihsin 1st Rd."
"斯馨路","Sihsin Rd."
"普山巷","Pushan Ln."
"普仁新村","Puren New Village"
"普天街","Putian St."
"普光二街","Puguang 2nd St."
"普光三街","Puguang 3rd St."
"普光街","Puguang St."
"普安路","Pu'an Rd."
"普忠路","Puzhong Rd."
"普義路","Puyi Rd."
"普慶路","Pucing Rd."
"普濟街","Puji St."
"普濟路","Puji Rd."
"普騰街","Puteng St."
"景大街","Jingda St."
"景山","Jingshan"
"景中巷","Jingzhong Ln."
"景中街","Jingzhong St."
"景仁街","Jingren St."
"景化街","Jinghua St."
"景文街","Jingwun St."
"景水","Jingshuei"
"景平路","Jingping Rd."
"景安街","Jing'an St."
"景安路","Jing'an Rd."
"景庄街","Jingzhuang St."
"景秀街","Jingsiou St."
"景和東街","Jinghe E. St."
"景和街","Jinghe St."
"景宗街","Jingzong St."
"景昌街","Jingchang St."
"景明街","Jingming St."
"景南巷","Jingnan Ln."
"景後街","Jinghou St."
"景美","Jingmei"
"景美巷","Jingmei Ln."
"景美街","Jingmei St."
"景華街","Jinghua St."
"景隆街","Jinglong St."
"景雲街","Jingyun St."
"景新街","Jingsin St."
"景新路","Jingsin Rd."
"景福巷","Jingfu Ln."
"景福街","Jingfu St."
"景福路","Jingfu Rd."
"景德街","Jingde St."
"景德路","Jingde Rd."
"景賢七路","Jingsian 7th Rd."
"景賢九路","Jingsian 9th Rd."
"景賢二路","Jingsian 2nd Rd."
"景賢八路","Jingsian 8th Rd."
"景賢十路","Jingsian 10th Rd."
"景賢三路","Jingsian 3rd Rd."
"景賢五路","Jingsian 5th Rd."
"景賢六路","Jingsian 6th Rd."
"景賢北街","Jingsian N. St."
"景賢南一路","Jingsian S. 1st Rd."
"景賢南二路","Jingsian S. 2nd Rd."
"景賢路","Jingsian Rd."
"景興街","Jingsing St."
"景興路","Jingsing Rd."
"景豐街","Jingfong St."
"景觀大道","Jingguan Blvd."
"晴光街","Cingguang St."
"智仁街","Zhihren St."
"智生路","Zhihsheng Rd."
"智光街","Zhihguang St."
"智安一街","Zhih'an 1st St."
"智安二街","Zhih'an 2nd St."
"智安三街","Zhih'an 3rd St."
"智安四街","Zhih'an 4th St."
"智成街","Zhihcheng St."
"智昌街","Zhihchang St."
"智勇街","Zhihyong St."
"智南街","Zhihnan St."
"智海一街","Zhihhai 1st St."
"智海二街","Zhihhai 2nd St."
"智理街","Zhihli St."
"智惠街","Zhihhuei St."
"智群路","Zhihcyun Rd."
"智義街","Zhihyi St."
"智腦路","Zhihnao Rd."
"智德巷","Zhihde Ln."
"智樂路","Zhihle Rd."
"曾子路","Zengzih Rd."
"曾文街","Zengwun St."
"曾厝巷","Zengcuo Ln."
"曾厝街","Zengcuo St."
"曾家路","Zengjia Rd."
"曾福巷","Zengfu Ln."
"朝仁路","Chaoren Rd."
"朝元","Chaoyuan"
"朝天街","Chaotian St."
"朝北","Chaobei"
"朝西","Chaosi"
"朝奉路","Chaofong Rd."
"朝昇一巷","Chaosheng 1st Ln."
"朝昇二巷","Chaosheng 2nd Ln."
"朝昇三巷","Chaosheng 3rd Ln."
"朝昇東路","Chaosheng E. Rd."
"朝昇路","Chaosheng Rd."
"朝明路","Chaoming Rd."
"朝東","Chaodong"
"朝馬一街","Chaoma 1st St."
"朝馬七街","Chaoma 7th St."
"朝馬二街","Chaoma 2nd St."
"朝馬三街","Chaoma 3rd St."
"朝馬五街","Chaoma 5th St."
"朝馬六街","Chaoma 6th St."
"朝馬路","Chaoma Rd."
"朝庸路","Chaoyong Rd."
"朝富一街","Chaofu 1st St."
"朝富七街","Chaofu 7th St."
"朝富二街","Chaofu 2nd St."
"朝富三街","Chaofu 3rd St."
"朝富五街","Chaofu 5th St."
"朝富路","Chaofu Rd."
"朝琴路","Chaocin Rd."
"朝貴一街","Chaoguei 1st St."
"朝貴路","Chaoguei Rd."
"朝陽","Chaoyang"
"朝陽一巷","Chaoyang 1st Ln."
"朝陽二巷","Chaoyang 2nd Ln."
"朝陽三巷","Chaoyang 3rd Ln."
"朝陽巷","Chaoyang Ln."
"朝陽街","Chaoyang St."
"朝陽街一段","Sec. 1, Chaoyang St."
"朝陽街二段","Sec. 2, Chaoyang St."
"朝陽街五柳巷","Wuliou Ln., Chaoyang St."
"朝陽街居易巷","Jyuyi Ln., Chaoyang St."
"朝陽街東坡巷","Dongpo Ln., Chaoyang St."
"朝陽路","Chaoyang Rd."
"朝隆路","Chaolong Rd."
"朝新路","Chaosin Rd."
"朝寧","Chaoning"
"朝福街","Chaofu St."
"朝福路","Chaofu Rd."
"朝鳳街","Chaofong St."
"朝鳳路","Chaofong Rd."
"朝德街","Chaode St."
"朝興路","Chaosing Rd."
"棋山","Cishan"
"棋盤巷","Cipan Ln."
"棒球一街","Bangciou 1st St."
"棒球七街","Bangciou 7th St."
"棒球九街","Bangciou 9th St."
"棒球二街","Bangciou 2nd St."
"棒球八街","Bangciou 8th St."
"棒球十一街","Bangciou 11th St."
"棒球十七街","Bangciou 17th St."
"棒球十二街","Bangciou 12th St."
"棒球十八街","Bangciou 18th St."
"棒球十三街","Bangciou 13th St."
"棒球十五街","Bangciou 15th St."
"棒球十六街","Bangciou 16th St."
"棒球十街","Bangciou 10th St."
"棒球三街","Bangciou 3rd St."
"棒球五街","Bangciou 5th St."
"棒球六街","Bangciou 6th St."
"棒球路","Bangciou Rd."
"棟仔嶺","Dongzailing"
"棣芬","Difen"
"森川","Senchuan"
"森永","Senyong"
"森永路","Senyong Rd."
"森林巷","Senlin Ln."
"森茂","Senmao"
"森茂路","Senmao Rd."
"森豐巷","Senfong Ln."
"植福路","Zhihfu Rd."
"渡子頭","Duzihtou"
"渡假山莊","Dujia Villa"
"渡船巷","Duchuan Ln."
"渡船頭","Duchuantou"
"渡船頭街","Duchuantou St."
"渤海街","Bohai St."
"温泉","Wuncyuan"
"温泉一街","Wuncyuan 1st St."
"温泉路","Wuncyuan Rd."
"温泉路一段","Sec. 1, Wuncyuan Rd."
"温泉路二段","Sec. 2, Wuncyuan Rd."
"温泉路三段","Sec. 3, Wuncyuan Rd."
"温厝","Wuncuo"
"渭水路","Weishuei Rd."
"渭南路","Weinan Rd."
"港一街","Gang 1st St."
"港七街","Gang 7th St."
"港九街","Gang 9th St."
"港二街","Gang 2nd St."
"港八街","Gang 8th St."
"港十街","Gang 10th St."
"港三街","Gang 3rd St."
"港口","Gangkou"
"港口路","Gangkou Rd."
"港子","Gangzih"
"港子尾","Gangzihwei"
"港子頭","Gangzihtou"
"港中街","Gangzhong St."
"港五街","Gang 5th St."
"港六街","Gang 6th St."
"港仔路","Gangzai Rd."
"港仔墘","Gangzaician"
"港仔嘴","Gangzaizuei"
"港北","Gangbei"
"港北一街","Gangbei 1st St."
"港北二街","Gangbei 2nd St."
"港北三街","Gangbei 3rd St."
"港北六街","Gangbei 6th St."
"港北路","Gangbei Rd."
"港四街","Gang 4th St."
"港平路","Gangping Rd."
"港后路","Ganghou Rd."
"港安街","Gang'an St."
"港安街一段","Sec. 1, Gang'an St."
"港安街二段","Sec. 2, Gang'an St."
"港庄路","Gangzhuang Rd."
"港西","Gangsi"
"港西街","Gangsi St."
"港尾","Gangwei"
"港尾溪街","Gangweisi St."
"港尾路","Gangwei Rd."
"港尾寮","Gangweiliao"
"港底","Gangdi"
"港昇路","Gangsheng Rd."
"港明街","Gangming St."
"港東","Gangdong"
"港東街","Gangdong St."
"港東新邨","Gangdong New Village"
"港林街","Ganglin St."
"港信路","Gangsin Rd."
"港南一街","Gangnan 1st St."
"港南二街","Gangnan 2nd St."
"港南三街","Gangnan 3rd St."
"港南五街","Gangnan 5th St."
"港後","Ganghou"
"港後巷","Ganghou Ln."
"港後路","Ganghou Rd."
"港美街","Gangmei St."
"港埔一街","Gangpu 1st St."
"港埔一路","Gangpu 1st Rd."
"港埔二街","Gangpu 2nd St."
"港埔二路","Gangpu 2nd Rd."
"港埔三街","Gangpu 3rd St."
"港埔三路","Gangpu 3rd Rd."
"港埔路","Gangpu Rd."
"港區","Gangcyu"
"港區商場","Gangcyu Market"
"港區街","Gangcyu St."
"港埠路一段","Sec. 1, Gangbu Rd."
"港埠路二段","Sec. 2, Gangbu Rd."
"港埠路三段","Sec. 3, Gangbu Rd."
"港埠路五段","Sec. 5, Gangbu Rd."
"港埠路六段","Sec. 6, Gangbu Rd."
"港埠路四段","Sec. 4, Gangbu Rd."
"港崗路","Ganggang Rd."
"港清一街","Gangcing 1st St."
"港清二街","Gangcing 2nd St."
"港清三街","Gangcing 3rd St."
"港清街","Gangcing St."
"港盛街","Gangsheng St."
"港莊巷","Gangzhuang Ln."
"港都一路","Gangdu 1st Rd."
"港都二路","Gangdu 2nd Rd."
"港都三路","Gangdu 3rd Rd."
"港都五路","Gangdu 5th Rd."
"港都四路","Gangdu 4th Rd."
"港都路","Gangdu Rd."
"港富路","Gangfu Rd."
"港華街","Ganghua St."
"港順街","Gangshun St."
"港新一路","Gangsin 1st Rd."
"港新二路","Gangsin 2nd Rd."
"港新三路","Gangsin 3rd Rd."
"港新五路","Gangsin 5th Rd."
"港新四路","Gangsin 4th Rd."
"港新巷","Gangsin Ln."
"港新路","Gangsin Rd."
"港源街","Gangyuan St."
"港墘","Gangcian"
"港墘厝","Gangciancuo"
"港墘路","Gangcian Rd."
"港壽街","Gangshou St."
"港福街","Gangfu St."
"港嘴一路","Gangzuei 1st Rd."
"港嘴二路","Gangzuei 2nd Rd."
"港嘴三路","Gangzuei 3rd Rd."
"港興街","Gangsing St."
"港興路","Gangsing Rd."
"港頭巷","Gangtou Ln."
"港濱","Gangbin"
"港豐路","Gangfong Rd."
"港邊","Gangbian"
"港邊路","Gangbian Rd."
"渴望一路","Kewang 1st Rd."
"渴望二路","Kewang 2nd Rd."
"渴望路","Kewang Rd."
"游泳路","Youyong Rd."
"游泳路慈光二十九村","Cihguang 29th Vil., Youyong Rd."
"游泳路懷恩巷","Huai'en Ln., Youyong Rd."
"游厝庄","Youcuozhuang"
"湖下","Husia"
"湖口","Hukou"
"湖口老街","Hukoulao St."
"湖口街","Hukou St."
"湖子","Huzih"
"湖子內","Huzihnei"
"湖子內路","Huzihnei Rd."
"湖山街","Hushan St."
"湖山路","Hushan Rd."
"湖山路一段","Sec. 1, Hushan Rd."
"湖山路二段","Sec. 2, Hushan Rd."
"湖中路","Huzhong Rd."
"湖井頭","Hujingtou"
"湖內","Hunei"
"湖內一街","Hunei 1st St."
"湖內二街","Hunei 2nd St."
"湖內巷","Hunei Ln."
"湖內街","Hunei St."
"湖內路","Hunei Rd."
"湖水路","Hushuei Rd."
"湖仔厝","Huzaicuo"
"湖仔嶺","Huzailing"
"湖北街","Hubei St."
"湖北路","Hubei Rd."
"湖平路","Huping Rd."
"湖地路","Hudi Rd."
"湖竹路","Huzhu Rd."
"湖西","Husi"
"湖尾","Huwei"
"湖肚","Hudu"
"湖底","Hudi"
"湖底路","Hudi Rd."
"湖東","Hudong"
"湖東街","Hudong St."
"湖東路","Hudong Rd."
"湖前","Hucian"
"湖前街","Hucian St."
"湖前路","Hucian Rd."
"湖前農舍","Huciannongshe"
"湖南","Hunan"
"湖南路","Hunan Rd."
"湖美一街","Humei 1st St."
"湖美一路","Humei 1st Rd."
"湖美七街","Humei 7th St."
"湖美九街","Humei 9th St."
"湖美二街","Humei 2nd St."
"湖美二路","Humei 2nd Rd."
"湖美八路","Humei 8th Rd."
"湖美十一路","Humei 11th Rd."
"湖美十路","Humei 10th Rd."
"湖美三街","Humei 3rd St."
"湖美三路","Humei 3rd Rd."
"湖美五街","Humei 5th St."
"湖美六街","Humei 6th St."
"湖美街","Humei St."
"湖峰一街","Hufong 1st St."
"湖峰路","Hufong Rd."
"湖海路一段","Sec. 1, Huhai Rd."
"湖海路二段","Sec. 2, Huhai Rd."
"湖桶底","Hutongdi"
"湖桶巷","Hutong Ln."
"湖新路","Husin Rd."
"湖裡","Huli"
"湖農新邨","Hunong New Village"
"湖興","Husing"
"湖興路","Husing Rd."
"湖濱一路","Hubin 1st Rd."
"湖濱二路","Hubin 2nd Rd."
"湖濱三路","Hubin 3rd Rd."
"湧光路","Yongguang Rd."
"湧光路一段","Sec. 1, Yongguang Rd."
"湧安路","Yong'an Rd."
"湧東路","Yongdong Rd."
"湧泉路","Yongcyuan Rd."
"湧峯路","Yongfong Rd."
"湧興路","Yongsing Rd."
"湯圍街","Tangwei St."
"湳子","Nanzih"
"湳子路","Nanzih Rd."
"湳中街","Nanzhong St."
"湳仔溝","Nanzaigou"
"湳坑一街","Nankeng 1st St."
"湳坑二街","Nankeng 2nd St."
"湳坑三街","Nankeng 3rd St."
"湳坑路一段","Sec. 1, Nankeng Rd."
"湳坑路二段","Sec. 2, Nankeng Rd."
"湳底一巷","Nandi 1st Ln."
"湳底二巷","Nandi 2nd Ln."
"湳底北路","Nandi N. Rd."
"湳底西路","Nandi W. Rd."
"湳底東一路","Nandi E. 1st Rd."
"湳底南一路","Nandi S. 1st Rd."
"湳底南二路","Nandi S. 2nd Rd."
"湳底巷","Nandi Ln."
"湳底路","Nandi Rd."
"湳底路湳底一巷","Nandi 1st Ln., Nandi Rd."
"湳底路湳底東巷","Nandi E. Ln., Nandi Rd."
"湳抵巷","Nandi Ln."
"湳埔巷","Nanpu Ln."
"湳湖","Nanhu"
"湳雅街","Nanya St."
"湳窟","Nanku"
"湳窩口","Nanwokou"
"湳窩路","Nanwo Rd."
"湶洲巷","Cyuanzhou Ln."
"無底潭","Wuditan"
"焿子坪","Gengzihping"
"焿寮坑","Gengliaokeng"
"焿寮坪","Gengliaoping"
"犂份路","Lifen Rd."
"犂頭山下","Litoushansia"
"犂頭巷","Litou Ln."
"犂頭窠","Litouke"
"猪槽潭","Zhucaotan"
"猴洞坑","Houdongkeng"
"猴洞脚","Houdongjiao"
"猴探井街","Houtanjing St."
"猴廚底","Houchudi"
"琯溪街","Guansi St."
"番子田","Fanzihtian"
"番子田路","Fanzihtian Rd."
"番子坑","Fanzihkeng"
"番子厝","Fanzihcuo"
"番子崙","Fanzihlun"
"番子園","Fanzihyuan"
"番子路","Fanzih Rd."
"番子窩路","Fanzihwo Rd."
"番子寮","Fanzihliao"
"番仔田","Fanzaitian"
"番仔坑","Fanzaikeng"
"番仔溝","Fanzaigou"
"番仔路科","Fanzailuke"
"番仔潭","Fanzaitan"
"番田一巷","Fantian 1st Ln."
"番田二巷","Fantian 2nd Ln."
"番田路","Fantian Rd."
"番社","Fanshe"
"番社后","Fanshehou"
"番社前","Fanshecian"
"番社街","Fanshe St."
"番花路","Fanhua Rd."
"番花路一段","Sec. 1, Fanhua Rd."
"番花路二段","Sec. 2, Fanhua Rd."
"番金路","Fanjin Rd."
"番金路一巷一橫巷","1st Side Ln., Ln. 1, Fanjin Rd."
"番婆","Fanpo"
"番婆坑","Fanpokeng"
"番婆坟","Fanpofen"
"番婆林","Fanpolin"
"番婆街","Fanpo St."
"番割田路","Fangetian Rd."
"番溝","Fangou"
"番路","Fanlu"
"番路村瓦厝仔","Wacuozai, Fanlu Vil."
"番寮路","Fanliao Rd."
"登山巷","Dengshan Ln."
"登山街","Dengshan St."
"登山路","Dengshan Rd."
"登山路一段","Sec. 1, Dengshan Rd."
"登山路二段","Sec. 2, Dengshan Rd."
"登山路三段","Sec. 3, Dengshan Rd."
"登山路四段","Sec. 4, Dengshan Rd."
"登林路","Denglin Rd."
"登林路貿商巷","Maoshang Ln., Denglin Rd."
"登科街","Dengke St."
"登雲路","Dengyun Rd."
"登輝路","Denghuei Rd."
"登龍巷","Denglong Ln."
"登龍街","Denglong St."
"登龍路","Denglong Rd."
"發祥街","Fasiang St."
"發電所","Power Station"
"皓東街","Haodong St."
"皓東路","Haodong Rd."
"短竹巷","Duanzhu Ln."
"硬桃巷","Yingtao Ln."
"稅舍","Shueishe"
"稅務新村","Shueiwu New Village"
"程東路","Chengdong Rd."
"程南路","Chengnan Rd."
"程香路","Chengsiang Rd."
"程泰","Chengtai"
"程海路","Chenghai Rd."
"筆秀東路","Bisiou E. Rd."
"筆秀東路光明巷","Guangming Ln., Bisiou E. Rd."
"筆秀路","Bisiou Rd."
"筆秀路秀成巷","Sioucheng Ln., Bisiou Rd."
"筆秀路和平巷","Heping Ln., Bisiou Rd."
"筆秀路忠孝巷","Zhongsiao Ln., Bisiou Rd."
"筆秀路信義巷","Sinyi Ln., Bisiou Rd."
"筆秀路農舍巷","Nongshe Ln., Bisiou Rd."
"筆秀路廟前巷","Miaocian Ln., Bisiou Rd."
"筏子東街一段","Sec. 1, Fazih E. St."
"筏子東街二段","Sec. 2, Fazih E. St."
"筏子頭","Fazihtou"
"筏堤西街一段","Sec. 1, Fati W. St."
"筏堤東街一段","Sec. 1, Fati E. St."
"筏路頭","Falutou"
"粟仔園","Suzaiyuan"
"紫和路","Zihhe Rd."
"紫金山莊","Zihjin Villa"
"紫雲村崁脚","Kanjiao, Zihyun Vil."
"紫雲街","Zihyun St."
"紫園","Zihyuan"
"紫園一巷","Zihyuan 1st Ln."
"紫園二巷","Zihyuan 2nd Ln."
"紫園三巷","Zihyuan 3rd Ln."
"紫園巷","Zihyuan Ln."
"紫園街","Zihyuan St."
"紫微南路","Zihwei S. Rd."
"紫微路","Zihwei Rd."
"紫新路","Zihsin Rd."
"紫楝路","Zihlian Rd."
"絨中路","Rongzhong Rd."
"舜苑街","Shunyuan St."
"舜耕路","Shungeng Rd."
"莿子埔","Cihzihpu"
"莿仔寮","Cihzailiao"
"莿桐北路一段","Sec. 1, Cihtong N. Rd."
"莿桐北路二段","Sec. 2, Cihtong N. Rd."
"莿桐南路一段","Sec. 1, Cihtong S. Rd."
"莿桐南路二段","Sec. 2, Cihtong S. Rd."
"莿桐路","Cihtong Rd."
"菁山路","Jingshan Rd."
"菁仔脚","Jingzaijiao"
"菁埔","Jingpu"
"菁埔路","Jingpu Rd."
"菁埔寮","Jingpuliao"
"菁桐街","Jingtong St."
"菁華街","Jinghua St."
"菁寮","Jingliao"
"菊中街","Jyuzhong St."
"菊東路","Jyudong Rd."
"菓作園","Guozuoyuan"
"菓林路","Guolin Rd."
"菓圍","Guowei"
"菓稟路","Guobing Rd."
"菓葉","Guoye"
"菜公一路","Caigong 1st Rd."
"菜公西巷","Caigong W. Ln."
"菜公坑","Caigongkeng"
"菜公店","Caigongdian"
"菜公東巷","Caigong E. Ln."
"菜公巷","Caigong Ln."
"菜公厝","Caigongcuo"
"菜公路","Caigong Rd."
"菜市場","Vegetable Market"
"菜市場路","Caishihchang Rd."
"菜市街","Caishih St."
"菜瓜坪","Caiguaping"
"菜瓜窩","Caiguawo"
"菜庄巷","Caizhuang Ln."
"菜堂","Caitang"
"菜堂下","Caitangsia"
"菜堂巷","Caitang Ln."
"菜堂頂","Caitangding"
"菜園","Caiyuan"
"菜園巷","Caiyuan Ln."
"菜園頂","Caiyuanding"
"菜園街","Caiyuan St."
"菜園路","Caiyuan Rd."
"菜寮","Cailiao"
"菜寮村大平路","Daping Rd., Cailiao Vil."
"菜寮村中山路","Zhongshan Rd., Cailiao Vil."
"菜寮村中正路","Zhongzheng Rd., Cailiao Vil."
"菜寮村西平路","Siping Rd., Cailiao Vil."
"菜寮村東平路","Dongping Rd., Cailiao Vil."
"菜寮路","Cailiao Rd."
"菜舖廍","Caipubu"
"華一街","Hua 1st St."
"華七街","Hua 7th St."
"華二街","Hua 2nd St."
"華八街","Hua 8th St."
"華三街","Hua 3rd St."
"華山","Huashan"
"華山一巷","Huashan 1st Ln."
"華山一街","Huashan 1st St."
"華山七巷","Huashan 7th Ln."
"華山二巷","Huashan 2nd Ln."
"華山二街","Huashan 2nd St."
"華山三巷","Huashan 3rd Ln."
"華山五巷","Huashan 5th Ln."
"華山六巷","Huashan 6th Ln."
"華山四巷","Huashan 4th Ln."
"華山巷","Huashan Ln."
"華山街","Huashan St."
"華山街華山巷","Huashan Ln., Huashan St."
"華山路","Huashan Rd."
"華川路","Huachuan Rd."
"華工三路","Huagong 3rd Rd."
"華工五路","Huagong 5th Rd."
"華工六路","Huagong 6th Rd."
"華工四路","Huagong 4th Rd."
"華中一街","Huazhong 1st St."
"華中一路","Huazhong 1st Rd."
"華中八街","Huazhong 8th St."
"華中十街","Huazhong 10th St."
"華中三街","Huazhong 3rd St."
"華中六街","Huazhong 6th St."
"華中北街","Huazhong N. St."
"華中南路","Huazhong S. Rd."
"華中街","Huazhong St."
"華中路","Huazhong Rd."
"華五街","Hua 5th St."
"華仁一街","Huaren 1st St."
"華仁街","Huaren St."
"華六街","Hua 6th St."
"華文街","Huawun St."
"華月巷","Huayue Ln."
"華北一街","Huabei 1st St."
"華北二路","Huabei 2nd Rd."
"華北三街","Huabei 3rd St."
"華北街","Huabei St."
"華北路","Huabei Rd."
"華四街","Hua 4th St."
"華平路","Huaping Rd."
"華正路","Huazheng Rd."
"華民街","Huamin St."
"華民路","Huamin Rd."
"華立街","Huali St."
"華光巷","Huaguang Ln."
"華光街","Huaguang St."
"華光路","Huaguang Rd."
"華安二路","Hua'an 2nd Rd."
"華安三路","Hua'an 3rd Rd."
"華安街","Hua'an St."
"華安路","Hua'an Rd."
"華成巷","Huacheng Ln."
"華江一路","Huajiang 1st Rd."
"華江七路","Huajiang 7th Rd."
"華江九路","Huajiang 9th Rd."
"華江二路","Huajiang 2nd Rd."
"華江八路","Huajiang 8th Rd."
"華江三路","Huajiang 3rd Rd."
"華江五路","Huajiang 5th Rd."
"華江六路","Huajiang 6th Rd."
"華江北街","Huajiang N. St."
"華江南街一段","Sec. 1, Huajiang S. St."
"華江南街二段","Sec. 2, Huajiang S. St."
"華江街","Huajiang St."
"華西","Huasi"
"華西街","Huasi St."
"華西路","Huasi Rd."
"華亞一路","Huaya 1st Rd."
"華亞二路","Huaya 2nd Rd."
"華亞三路","Huaya 3rd Rd."
"華亞五路","Huaya 5th Rd."
"華宗路","Huazong Rd."
"華岡","Huagang"
"華岡街","Huagang St."
"華岡路","Huagang Rd."
"華昌街","Huachang St."
"華昌路","Huachang Rd."
"華明街","Huaming St."
"華東","Huadong"
"華東街","Huadong St."
"華東路","Huadong Rd."
"華林街","Hualin St."
"華欣路","Huasin Rd."
"華亭街","Huating St."
"華信街","Huasin St."
"華南","Huanan"
"華南二路","Huanan 2nd Rd."
"華南街","Huanan St."
"華南路","Huanan Rd."
"華南路一段","Sec. 1, Huanan Rd."
"華城一街","Huacheng 1st St."
"華城一路","Huacheng 1st Rd."
"華城七街","Huacheng 7th St."
"華城九街","Huacheng 9th St."
"華城二街","Huacheng 2nd St."
"華城二路","Huacheng 2nd Rd."
"華城八街","Huacheng 8th St."
"華城三街","Huacheng 3rd St."
"華城三路","Huacheng 3rd Rd."
"華城五街","Huacheng 5th St."
"華城六街","Huacheng 6th St."
"華城街","Huacheng St."
"華城路","Huacheng Rd."
